# icr-intercell gene name dictionary v0.2
#
# jamesc@icr.ac.uk, 13th May 2014
#
# This file is used as a dictionary to standardise gene names in different data sets
# Cell line names found in the first column (alias) should be converted to those
# given in the second column (gene_name).
#
# Gene name information was extracted from columns 4 and 7 in the file:
# 	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/GENE_INFO/Mammalia/Homo_sapiens.gene_info.gz
#
# This version contains 102615 alia for 47634 distinct gene names
#
# Changes: 
#   changed HGF\tSOS1 to HGF\tHGF
#	changed APC\tPROC to APC\APC
# need to address the issue of an official gene name being an alias for another gene...
#
#alias	gene_name
DDC8	TIMP2
3-OST-5	HS3ST5
M7V1	SLC1A5
RPS11	RPS11
ECGF-beta	FGF1
RPL10P14	RPL10P14
PNMA1	PNMA1
ZFP318	ZNF318
AT	GATM
LOC100533626	LOC100533626
TMEM216	TMEM216
TRAF3IP2-AS1	TRAF3IP2-AS1
SOTOS	NSD1
IGKV2-23	IGKV2-23
SMALED1	DYNC1H1
A211C6.1	LYRM1
C10orf90	C10orf90
Erk3ps4	MAPK6PS4
IKBKBBP	TRAPPC9
GPR98	GPR98
MATT	TMEM79
PRGS	GART
FACA	FANCA
3OST3A1	HS3ST3A1
dJ718P11.1	SPTLC3
OR11-151	OR5L1
NATI	NAT1
LOC101928408	LOC101928408
12-LOX	ALOX15
LOC102723842	LOC102723842
PRSSL1	PRSS57
CADM4	CADM4
STR1	MMP3
TCRBV6S8A2T	TRBV7-4
CST2P1	CST2P1
SLC10A7	SLC10A7
CFHR5	CFHR5
OR5H5P	OR5H5P
HNRPD	HNRNPD
HDRF-2	ZNF395
OR2K2	OR2K2
LOC101927806	LOC101927806
ACS	ACCS
PSMA6Y	PSMA6P1
LMAN1	LMAN1
Gpnat1	GNPNAT1
CHD8	CHD8
LOC101930151	LOC101930151
SUMO1	SUMO1
MIR1233-2	MIR1233-2
UTP24	FCF1
GLI3-190	GLI3
HEL-S-117	ADH1B
GOLPH5	GORASP1
MEKK12	MAP3K12
ELAM1	SELE
IFNWP18	IFNWP18
TM4SF14	TSPAN14
MMP7	MMP7
CIR1P2	CIR1P2
miR-98	MIR98
XAB2	XAB2
ATOD2	FLG
LOC102723598	LOC102723598
TCRBD2	TRBD2
ZBTB12	ZBTB12
PIRC73	PIRC73
CLIP	CLIP2
RPL34_4_146	RPL34P6
DTNBP1	DTNBP1
LINC00683	LINC00683
ZG16	ZG16
MIR582	MIR582
RDGB1	PITPNM1
LOC100130857	LOC100130857
PDHA1P1	PDHA1P1
MIR548H-3	MIR548H3
RAL	RALA
GPR129	FFAR4
MIER1	MIER1
MCPH7	STIL
UPII	UPK2
SHP1	NR0B2
ARID3C	ARID3C
RPL8P5	RPL8P5
TRMT112P4	TRMT112P4
TRNAS23	TRNAS23
MIR489	MIR489
TRP53	TP53
PROSC	PROSC
RPSA_4_107	RPSAP18
LST-2	SLCO1B3
ZEB2-AS	ZEB2-AS1
C4ST	CHST11
DYF13	TTC26
UDPGTH3	UGT2B15
LOC101930134	LOC101930134
PIP5KIIbeta	PIP4K2B
APMR1	APMR1
SYN3	SYN3
LINC00210	LINC00210
RPL12_15_1346	RPL12P5
ZNF906	ZFP37
TRNAD4	TRNAD4
WDR34	WDR34
OR7A17	OR7A17
SUGCT	SUGCT
CD299	CLEC4M
RFPL4AP2	RFPL4AP2
EPT1	EPT1
BNIP3P5	BNIP3P5
miR-490	MIR490
BPAD	MAFD6
TRIP8b	PEX5L
LHB	LHB
OR10X1	OR10X1
C3orf39	POMGNT2
IGHD2-15	IGHD2-15
Le-PAS	NPAS4
TRNG	TRNG
NKAT4B	KIR3DL2
MAP1LC3C	MAP1LC3C
CRYGC	CRYGC
UPF0599	TRIQK
Nbla00365	ZNF292
C14orf123	CHMP4A
LINC01247	LINC01247
C20orf32	CASS4
GREMLIN	GREM1
C4orf11	LINC00575
HHH	SLC25A15
CXorf2	SLITRK2
UBE2E2-AS1	UBE2E2-AS1
EPM1A	CSTB
RbBP-30	RAP2A
ABCD4	ABCD4
GAGE11	GAGE12J
EIF4BP9	EIF4BP9
MRP-S7	MRPS7
DIMT1L	DIMT1
RPL21_61_1581	RPL21P127
NUTM2G	NUTM2G
bA162G10.3	ZNF248
MT1JP	MT1JP
RPL5P16	RPL5P16
EIF1P3	EIF1P3
PHF20	PHF20
LOC102725224	LOC102725224
GROES	HSPE1
RAB33B	RAB33B
ALDOC	ALDOC
LXHR	PHEX
FAM170B-AS1	FAM170B-AS1
RIC8	RIC8A
B6P	PKP1
C1DUPp31.3	OPHLC
RNR	NR2E3
N-CoR2	NCOR2
STX3A	STX3
GRAMD4P1	GRAMD4P1
HCGIX	HCG9
ARL14EPL	ARL14EPL
bA369J21.6	TMEM254
Rho	RHOD
SELL	SELL
K7	RBPJP4
BPIFE	PLTP
OST085	OR7G3
OR6C1	OR6C1
B-CK	CKB
HEL-S-21	GSTO1
CTD-2270F17.1	CTD-2270F17.1
PWCR1	SNORD116-1
LOC100505555	LOC100505555
H142T	H142T
HEL-33	HSPA8
GBP7	GBP7
LOC100418993	LOC100418993
TCEB1P25	TCEB1P24
OR9L1P	OR9L1P
LOC102724307	LOC102724307
OR9G1	OR9G1
STK17A	STK17A
p150	PIK3R4
LOC102723626	LOC102723626
TRS2	TRNAS2
RIMBP3B	RIMBP3B
CNGA3	CNGA3
ECTODIN	SOSTDC1
ZDHHC6	ZDHHC6
DLX6AS	DLX6-AS1
NEFH	NEFH
bA402L1.8	ZNF32-AS1
TCEB3L2	TCEB3C
RMND5B	RMND5B
SAP	SH2D1A
NUB1L	NUB1
STRM	STRM
GLUR3	GRM3
ROR2	RORA
PIRC91	PIRC91
TRNAM6	TRNAM6
90K	LGALS3BP
ASTN	ASTN1
C8orf26	SAMD12-AS1
C5orf65	PROB1
MAOA	MAOA
CYSRS	CARS
RPEP2	RPEP2
NCRNA00025	CDRT7
D6S114E	TAP1
NDUFS5P2	NDUFS5P2
RLR-3	DHX58
MIR924	MIR924
RNA5SP122	RNA5SP122
IGHV349	IGHV3-49
HsRad51	RAD51
EMC1	EMC1
GPR14	UTS2R
PRO1	ZMPSTE24
LYAM1	SELL
HDAC7	HDAC7
SEC7	CYTH1
GRIK1AS	GRIK1-AS1
PTPRZ	PTPRZ2
p19B	SKP1P2
CYPIVX1	CYP4X1
GPR5	XCR1
EIF1	EIF1
RCNC1	CNGA1
D20S101	GGT7
AHX	NR0B1
LOC100131471	LOC100131471
COQ9	COQ9
RPL23AP2	RPL23AP2
CT5.2A	SSX2
LOC102467222	LOC102467222
DKFZP434I0714	DKFZP434I0714
KLST	SERPINA4
C1orf37-DUP	TMEM183B
IGKV210	IGKV2-10
KIAA0100	KIAA0100
FNDC1	FNDC1
HS2ST1	HS2ST1
CD82	CD82
LOC101930502	LOC101930502
SPINK14	SPINK14
GLUT	SLC2A1
LOC101927139	LOC101927139
TSP10	CYB561D2
LOC100129586	LOC100129586
bA487F23.2	CEP57L1
SSS3	MYH6
4.1-G	EPB41L2
HBK4	KCNA4
LOC100287497	LOC100287497
RPL7AP71	RPL7AP71
c-MIR	MARCH8
DRD3	DRD3
GEFSP6	GEFSP6
PTP4A2	PTP4A2
NEPH2	KIRREL3
HPCA	HPCA
METTL25	METTL25
EMILIN1	EMILIN1
L10	IGKV3-7
NDUFB4P2	NDUFB4P2
Snt309	BCAS2
Prp38	PRPF38A
SPGF12	NANOS1
C9orf16	C9orf16
LOC101928126	LOC101928126
FUTSCH	MAP1B
CLCN4	CLCN4
LOC649783	LOC649783
OR5BP1P	OR5BP1P
ASS1	ASS1
USP42	USP42
LFP	LMNA
CCP-X	GZMH
TRNAL27	TRNAL27
lncRNA-N2	MIR100HG
C1orf71	CNST
C20orf192	PPP4R1L
TILZ4c	TSC22D2
OR5AX1	OR14A2
ADAM23	ADAM28
TVAS1	INPP4A
hsa-mir-7107	MIR7107
IGKV1D17	IGKV1D-17
OR4A44P	OR4A44P
SNORD105	SNORD105
CKMT	CKMT1B
HPR1	HPSE
HLA-J	HLA-J
FONG	FTCDNL1
OST193	OR7E37P
OVCAS1	OVCAS1
YCR063W	BUD31
RPL37P22	RPL37P22
FSIP1	FSIP1
SPC3	SPCS3
UPF3A	UPF3A
LOC100420466	LOC100420466
TCONS_00014535	CASC11
LOC101929464	LOC101929464
MIR550B1	MIR550B1
LOC100420435	LOC100420435
BAG-3	BAG3
FLJ45974	FLJ45974
Hsp90	HSP90AA1
LOC102724887	LOC102724887
DNAH17-AS1	DNAH17-AS1
LOC345051	LOC345051
FAM35AP	FAM35CP
LOC283352	LOC283352
ADRACALA	AAAS
PRO1341	ALB
MIR8083	MIR8083
PDP1	PPAPDC2
LRRTM3	LRRTM3
dJ530I15.3	C20orf176
ABCB10P2	ABCB10P1
MTR1	TRPM5
TRIM64C	TRIM64C
NCRNA00052	LINC00052
HABP4	HABP4
TMEM125	TMEM125
RBSK	RBKS
MIR548AU	MIR548AU
TDRD13	ALG13
CNTN2	CNTN2
CA-RPX	CA10
RIG-I	DDX58
MIR885	MIR885
dJ347H13.2	CSDC2
LOC729086	LOC729086
TSF1	STK16
FUT4	FUT4
OA18	OA18
PPT	PPT1
OR5B5P	OR5B1P
LOC100128895	LOC100128895
BHLHE21	OLIG1
PP12104	SMIM5
OR912-46	OR7E26P
PP14571	PP14571
LOC400541	LOC400541
LOC101059958	LOC101059958
GLCNACTII	MGAT2
CPEB-1	CPEB1
NPD001	MKL2
C9DUPq21.11	TJP2
GSTP1	GSTP1
DTD	SLC26A2
vU1.20	RNVU1-4
NAMA	NAMA
CORD4	CORD4
TRBV22OR9-2	TRBV22OR9-2
LILRA6	LILRA6
POADS	DHODH
zmm2	HTR4-IT1
DRT	EPHB2
C20orf34	CDK5RAP1
PITPNM	PITPNM1
DNHD1	DNHD1
MIR122	MIR122
C19orf67	C19orf67
ZNF350	ZNF350
UCPH	UCP2
LR11	SORL1
VEGP	LCN1
dJ413H6.1	ADTRP
